algoritmo, qtd, rdn1, rdn2, rdn3, ordem, inver
Insertion,15100,13,14,14,0,28
Selection,15100,41,42,41,40,43
Array,15100,0,1,0,0,0
QuickSort,15100,1,1,1,161,151
Merge,15100,1,1,1,1,0
Bubble,15600,192,195,194,29,58
Insertion,15600,16,14,15,0,31
Selection,15600,43,44,45,43,46
Array,15600,0,0,0,0,0
QuickSort,15600,1,0,1,170,156
Merge,15600,1,1,2,0,1
Bubble,16100,204,204,205,32,62
Insertion,16100,16,15,17,0,33
Selection,16100,48,46,45,46,52
Array,16100,0,0,0,0,0
QuickSort,16100,1,1,0,184,169
Merge,16100,0,2,1,1,0
Bubble,16600,219,224,221,32,65
Insertion,16600,17,17,17,0,34
Selection,16600,50,50,49,50,53
Array,16600,0,0,1,0,0
QuickSort,16600,1,0,0,200,181
Merge,16600,2,1,1,1,2
Bubble,17100,234,236,241,35,72
Insertion,17100,18,19,18,0,37
Selection,17100,53,54,53,52,55
Array,17100,1,0,0,0,0
QuickSort,17100,1,1,0,206,191
Merge,17100,1,2,0,0,0
Bubble,17600,252,256,256,37,76
Insertion,17600,19,20,19,0,39
Selection,17600,57,56,57,54,60
Array,17600,0,0,0,0,0
QuickSort,17600,1,1,1,220,204
Merge,17600,2,1,1,1,0
Bubble,100,0,0,0,0,0
Insertion,100,0,0,0,0,0
Selection,100,0,0,0,0,0
Array,100,0,0,0,0,0
QuickSort,100,0,0,0,0,0
Merge,100,0,0,0,0,0
Bubble,600,0,0,0,0,0
Insertion,600,0,0,0,0,0
Selection,600,0,0,1,0,0
Array,600,0,0,0,0,0
QuickSort,600,0,0,0,0,0
Merge,600,0,0,0,0,0
Bubble,1100,0,0,0,0,0
Insertion,1100,0,0,1,0,0
Selection,1100,0,0,1,0,0
Array,1100,0,0,0,0,0
QuickSort,1100,0,0,0,1,1
Merge,1100,0,0,0,0,0
Bubble,1600,0,1,2,0,0
Insertion,1600,0,0,0,0,0
Selection,1600,1,0,0,0,1
Array,1600,0,0,0,0,0
QuickSort,1600,0,0,0,2,1
Merge,1600,0,0,0,0,0
Bubble,2100,2,2,0,0,1
Insertion,2100,0,1,0,0,0
Selection,2100,0,0,0,1,1
Array,2100,0,0,0,0,0
QuickSort,2100,0,0,0,3,3
Merge,2100,0,0,0,0,0
Bubble,2600,2,3,1,0,2
Insertion,2600,0,0,1,0,1
Selection,2600,1,0,2,1,0
Array,2600,0,0,0,0,0
QuickSort,2600,0,0,0,4,5
Merge,2600,0,0,0,0,0
Bubble,3100,2,4,4,1,2
Insertion,3100,0,0,0,0,1
Selection,3100,1,1,1,2,1
Array,3100,0,0,0,0,0
QuickSort,3100,0,0,0,7,5
Merge,3100,0,0,0,0,0
Bubble,3600,5,3,5,2,2
Insertion,3600,1,0,1,0,2
Selection,3600,2,2,2,1,3
Array,3600,0,0,0,0,0
QuickSort,3600,0,0,0,9,9
Merge,3600,0,0,1,0,0
Bubble,4100,7,7,6,1,4
Insertion,4100,1,1,0,0,2
Selection,4100,2,3,3,3,3
Array,4100,0,0,0,0,0
QuickSort,4100,0,0,0,12,11
Merge,4100,0,0,0,0,0
Bubble,4600,8,9,8,2,5
Insertion,4600,2,1,0,0,2
Selection,4600,4,4,3,4,3
Array,4600,0,0,0,0,0
QuickSort,4600,0,0,1,14,13
Merge,4600,1,0,1,0,0
Bubble,5100,11,11,11,3,6
Insertion,5100,1,2,1,0,3
Selection,5100,5,4,5,4,5
Array,5100,0,0,1,0,0
QuickSort,5100,0,0,0,19,16
Merge,5100,0,0,1,0,0
Bubble,5600,14,14,14,4,6
Insertion,5600,2,2,2,0,2
Selection,5600,6,6,5,6,5
Array,5600,0,0,0,0,0
QuickSort,5600,0,0,0,23,20
Merge,5600,0,0,0,0,0
Bubble,6100,18,19,18,4,9
Insertion,6100,2,1,2,0,5
Selection,6100,7,7,7,6,7
Array,6100,0,0,0,0,0
QuickSort,6100,0,0,1,26,25
Merge,6100,0,0,0,0,1
Bubble,6600,22,22,22,5,9
Insertion,6600,3,2,3,0,5
Selection,6600,8,7,8,7,8
Array,6600,1,0,0,0,0
QuickSort,6600,0,0,1,29,28
Merge,6600,0,0,1,0,0
Bubble,7100,27,26,27,6,12
Insertion,7100,3,2,3,0,5
Selection,7100,9,9,9,9,10
Array,7100,0,0,0,0,0
QuickSort,7100,0,0,0,36,33
Merge,7100,1,0,0,0,0
Bubble,7600,32,31,32,6,14
Insertion,7600,4,2,4,0,7
Selection,7600,10,10,10,10,11
Array,7600,0,0,0,0,0
QuickSort,7600,1,0,0,42,38
Merge,7600,1,0,0,0,0
Bubble,8100,37,37,37,7,16
Insertion,8100,4,3,3,0,8
Selection,8100,11,11,11,12,12
Array,8100,0,0,0,0,0
QuickSort,8100,0,0,0,47,43
Merge,8100,0,0,0,0,1
Bubble,8600,45,45,44,8,18
Insertion,8600,5,4,4,0,9
Selection,8600,13,13,13,13,14
Array,8600,0,0,0,0,0
QuickSort,8600,0,0,1,53,49
Merge,8600,0,0,1,0,0
Bubble,9100,51,53,52,10,21
Insertion,9100,3,6,5,0,10
Selection,9100,15,16,15,15,17
Array,9100,0,1,0,0,0
QuickSort,9100,1,0,0,58,52
Merge,9100,0,0,1,0,0
Bubble,9600,61,63,60,10,21
Insertion,9600,5,5,6,0,11
Selection,9600,17,17,17,16,17
Array,9600,0,0,0,0,0
QuickSort,9600,0,0,1,65,62
Merge,9600,0,0,1,0,0
Bubble,10100,69,70,69,12,24
Insertion,10100,6,6,6,0,13
Selection,10100,18,20,19,18,20
Array,10100,1,0,0,0,0
QuickSort,10100,0,0,0,72,64
Merge,10100,0,0,1,0,0
Bubble,10600,77,77,77,13,27
Insertion,10600,7,6,7,0,14
Selection,10600,21,20,21,20,22
Array,10600,0,0,0,0,0
QuickSort,10600,1,0,1,81,73
Merge,10600,1,1,0,0,0
Bubble,11100,89,87,89,15,28
Insertion,11100,6,8,8,0,16
Selection,11100,23,22,23,22,24
Array,11100,0,0,1,0,0
QuickSort,11100,0,1,1,86,81
Merge,11100,1,1,1,0,0
Bubble,11600,98,97,95,15,31
Insertion,11600,8,7,8,0,15
Selection,11600,25,25,25,24,26
Array,11600,1,0,1,0,0
