Algoritmo,Lista Randomica 1,Lista Randomica 2,Lista Randomica 3,Lista Ordenada,Lista Inversa
Merge,0.45628505443747935,0.4592543714945563,0.44858682503024305,0.15682393049598592,0.16045309578796876
QuickSort,0.31540745628505445,0.287253931595733,0.29126800835807765,76.26223468602221,70.60194655229297
Array,0.16078301990542176,0.1569888925547124,0.16105795666996592,0.001759595293082591,0.004234026173979984
